glossary_id,term,category,definition,tkdl_original_term,source_url,verification_status
GLOS-0027,Agni Mahābhūta,Pad¢rtha Vij®¢na,"Literally represents fire. One of the five eternal elements i.e; the Pa®camah¢bh¦ta, Agni is the universal force in nature that produces heat and radiates light.The element is the organizing principle which controls all kinds of conversions or transformations, and is characterised by dominant feature of Vision (R¦pa). Eyes are regarded as the sense organs.",Agni Mah¢bh¦ta,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0028,Aj¤rīa,K¢yacikits¢,"Regarded as a gastro-intestinal disorder, the term refers to the state of Indigestion. A sequel of weak digestive fire (Ja°har¢gni), it is a source of many other abdominal disorders.",Aj¤r´a,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0029,Akṣitarpaīa,¹¢l¢kya/ K¢ya Cikits¢,"Literally means nourishment (Tarpa´a) to the eyes (Netra). This is a special treatment in which the eyes are bathed in pure or medicated fluids (clarified butter/oil/decoction). For this purpose after massage, organic dough rings made of blackgram are carefully placed around the orbital cavity. Medicated Gh¨ta (clarified butter) is kept in hot water and its supernatant when tepid, is poured into the dough ring and retained for 15-20 minutes. Eyes are alternatively opened and closed while immersed in the Gh¨ta. The oil bath for the eyes relieves tension and fatigue, improves eyesight, balances the nervous system, and smoothes away wrinkles while gently eliminating toxins and impurities. It has also been known to relieve eye strain from constant glaring into the computer or television screen, simple myopia as well as more serious eye diseases.",Ak¾itarpa´a,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0030,Amla,Pad¢rtha Vij®¢na,"One of the six tastes (½a² Rasas). In ¡yurveda, it refers to the sour taste. It has been described as healing and stimulant, V¢ta pacifying, cardiotonic or good for heart (H¨daya), appetizer and digestive but causing heartburn if taken in excess. See also Rasa.",Amla,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0031,Amlapitta,K¢yacikits¢,"A gastro-intestinal disorder in which vitiated Pitta turns acrid and causes inflammation of gastric mucosa. Characterised by loss of appetite, heartburn, eructations and giddiness, the disease can be regarded as hyperacidity or dyspepsia.",Amlapitta,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0032,Aṛgula,Racan¢ ¹¢r¤ra,See A¼guli,A¼gula,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0033,Aṛguli,Racan¢ ¹¢r¤ra,A type of measurement used in ancient times. It denotes measurement of a finger's width.,A¼guli,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0034,Añjana,K¢yacikits¢,"One of the therapies for eye mentioned in ¡yurveda, it refers to application of black pigments in the form of powder or ointment into the eyes.",A®jana,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0035,Antaª Parimārjana,K¢yacikits¢,"The term refers to internal therapeutics in ¡yurveda. It consists of two broad categories - Sa¼ºodhana (purificatory therapy) & Sa¼ºodhana (palliative therapy). Purificatory therapies includes the Pa®caKarma while palliative therapy involves treatment through drugs, diet and lifestyle regimens according to the nature of disease. See B¢hya Parim¢rjana also.",Antaª Parim¢rjana,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0036,Anu,Pad¢rtha Vij®¢na,"A common prefix of Sa¼sk¨ta used frequently in ¡yurveda which means after, near to or subordinate to.",Anu,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0037,Anulomana,Dravyagu´a,Literally the term stands for sending or putting to right direction. One of the pharmacological actions of the ¡yurvedika drugs. It signifies the herbs which facilitate elimination of waste products (Mala) through the natural outlets. Such drugs possess the capacity to relieve flatulence and mild constipation as well. It includes aromatic and carminative herbs like Har¤taki (Terminalia chebula Retz.).,Anulomana,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0038,Anumāna,Pad¢rtha Vij®¢na,"One of the Pram¢´a (source of valid knowledge) mentioned in ¡yurveda, Anum¢na refers to inferential or deduced knowledge dependent on rational or balanced thinking (Yukti) e.g; deduction of the state of digestive fire (Ja°har¢gni) from individual's capacity to digest food.",Anum¢na,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0039,Anupāna,K¢yacikits¢,"A fluid vehicle prescribed to be taken with or soon after the medicine. The purpose is to facilitate the absorption or assimilation of the drug or to increase efficacy of the drug. Different Anup¢nas according to the disease & nature of the main drug have been mentioned in the ancient texts. Main vehicles are honey, clarified butter, buttermilk and juices of certain herbs. Can also be regarded as post-prandial drink.",Anup¢na,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
