source_text_id,system,title,author,editor,publisher,edition,publication_year,description,tkdl_url,source_type
TKDL-AYU-BK-047,Ayurveda,Gadanigraha - Part-3 (Shalakya-Panchakarma Khanda),Sodhala,Edited by Ganga Sahaya Pandeya & Commentary by Indradeva Tripathi,Chaukhamba Sanskrit Sansthan (Varanasi),Edn. 3rd,1999,"Edited by Ganga Sahaya Pandeya & Commentary by Indradeva Tripathi, Published by Chaukhamba Sanskrit Sansthan (Varanasi), Edn. 3rd 1999",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-048,Ayurveda,Gajashastrama,Palakapya Muni,Edited with Tamil Translation by K. S. Subrahmanya Sastri,"T.M.S.S.M. Library, Tanjore",Edn. 1958,1958,"Edited with Tamil Translation by K. S. Subrahmanya Sastri, Published by T.M.S.S.M. Library, Tanjore, Edn. 1958",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-049,Ayurveda,Gajayurveda,Pala Kapya,,,,,Gaj¢yurvedaª -,https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-050,Ayurveda,Harita Samhita,Harita,Translated by Hariharaprasada Tripathi,Chaukhambha Krishnadas Academy (Varanasi),Edn. 1st,2005,"Translated by Hariharaprasada Tripathi, Published by Chaukhambha Krishnadas Academy (Varanasi), Edn. 1st 2005",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-051,Ayurveda,Kaiyadevanighantu (Pathyapathyavibodhaka),Kaiyadeva,translated by P.V. Sharma and Guru Prasad Sharma,"Chaukhambha Orientalia, Varanasi",Edn. 1st,1979,"Edited and translated by P.V. Sharma and Guru Prasad Sharma, Published by Chaukhambha Orientalia, Varanasi, Edn. 1st, 1979",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-052,Ayurveda,Kakachandishvara kalpatantra,Kakachandishvara,Translated by Harihara Prasad Tripathi,"Chaukhambha Sanskrit Series Office, Varanasi",,2004,"Translated by Harihara Prasad Tripathi, Published by Chaukhambha Sanskrit Series Office, Varanasi, First Edition, 2004",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-053,Ayurveda,Kamasutrama,Vatsyayana Muni,Edited with Commentary by Shridevdutta Shastri,"Chaukhamba Sanskrit Samsthan, Varanasi",Edn. 7th,2003,"Edited with Commentary by Shridevdutta Shastri, Published by Chaukhamba Sanskrit Samsthan, Varanasi,  Edn. 7th 2003",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-054,Ayurveda,Kashyapa Samhita or Vriddhajivakiya Tantra,Vrddhajivaka,translated by P.V. Tiwari Published by Chaukhamba Visvabharati,"Chaukhamba Visvabharati, Varanasi",Edn. 1st,1996,"Edited & translated by P.V. Tiwari Published by Chaukhamba Visvabharati, Varanasi, Edn. 1st, 1996",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-055,Ayurveda,Kuipakva Rasa - Nirman Vigyan,Harisharanananda,,"Punjab Ayurvedic Pharmacy, Amritsar",Edn 1st,1941,"Published by Punjab Ayurvedic Pharmacy, Amritsar, Edn 1st 1941",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-056,Ayurveda,Lohasarvasvam,Sureshvara,Translated by Uttam Vaidya Pammi Satyanarayana Shastry,"Chaukhambha Sanskrit Series Office, Varanasi",Edn. 1st,2005,"Translated by Uttam Vaidya Pammi Satyanarayana Shastry, Published by Chaukhambha Sanskrit Series Office, Varanasi, Edn. 1st 2005",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
